NO PARK/STREET CLEAN,288806
METER EXP.,173001
RED ZONE,74659
PREFERENTIAL PARKING,69106
DISPLAY OF TABS,61373
NO PARKING,44233
DISPLAY OF PLATES,27777
WHITE ZONE,22343
PARKED OVER TIME LIMIT,17974
NO STOP/STANDING,17913
PARKED OVER TIME LIM,15153
STANDNG IN ALLEY,14253
BLOCKING DRIVEWAY,12527
STOP/STAND PROHIBIT,11139
YELLOW ZONE,10628
NO STOP/STAND,10303
NO EVIDENCE OF REG,9826
PARKED ON SIDEWALK,9062
18 IN. CURB/2 WAY,8862
EXCEED 72HRS-ST,8525
FIRE HYDRANT,7743
DOUBLE PARKING,6911
NO STOPPING/ANTI-GRIDLOCK ZONE,6365
OUTSIDE LINES/METER,6220
OFF STR/OVERTIME/MTR,5275
NO STOPPING/ANTI-GRI,4430
EXPIRED TAGS,2924
COMM VEH OVER TIME LIMIT,2342
PRIVATE PROPERTY,2032
METER EXPIRED,1996
PARKED IN PARKWAY,1986
COMM VEH OVER TIME L,1979
DISABLED PARKING/NO DP ID,1930
OVNIGHT PRK W/OUT PE,1712
WHITE CURB,1693
NO STOPPING/STANDING,1613
18 IN/CURB/COMM VEH,1492
PK IN PROH AREA,1432
PREF PARKING,1399
DISABLED PARKING/NO,1298
RESTRICTED TAXI ZONE,1252
DSPLYPLATE A,1098
HANDICAP/NO DP ID,1082
COMM TRAILER/22 FT.,1006
22500H,967
PARKED IN BUS ZONE,959
PARKED IN CROSSWALK,891
CITY PARK/PROHIB,758
NO STOP/STAND PM,709
18 IN. CURB/1 WAY,674
22514,652
22500F,635
SAFETY ZONE/CURB,635
STNDNG IN ALLEY,611
OFF STR MTR/OUT LINE,592
PARKING/FRONT YARD,588
WITHIN INTERSECTION,561
PARKED IN FIRE LANE,555
BLK BIKE PATH OR LANE,524
22500E,468
RED CURB,444
WRG SD/NOT PRL,437
GREEN ZONE,435
PKD OVER TIME LIMIT,428
5200,406
PK OUTSD PK STL,401
DISABLED PARKING/CROSS HATCH,374
NO PARKING BETWEEN POSTED HOURS,366
2251157A,365
PARKING AREA,365
22502A,356
NO STOP/STAND AM,347
5204,346
DP- RO NOT PRESENT,345
CARSHARE PARKING,320
DP-BLKNG ACCESS RAMP,318
PARK IN GRID LOCK ZN,298
DISABLED PARKING/CRO,297
TIME LIMIT/CITY LOT,282
4000A,273
BLK BIKE PATH OR LAN,237
3 FT. SIDEWALK RAMP,231
EXCEED 72 HOURS,211
NO PK BET 1-3AM,208
22500I,192
PK OVERSIZ,167
OVERNIGHT PARKING,162
PARK-PSTD AREAS,116
NO PARKING BETWEEN P,113
LOAD/UNLOAD ONLY,112
PKD IN/ON PARKWAY,107
2251157B,98
22500B,97
EXCEED TIME LMT,97
PK OUTSD SPACE,85
COMVEH RES/OV TM LMT,81
80581,76
PK OTSD PSTD AR,70
RED FLAG DAY,63
HANDICAP/CROSS HATCH,63
DISABLED PARKING/OBSTRUCT ACCESS,56
R/PRIV PARKING AREA,53
PUBLIC GROUNDS,49
CLEANING VEH/STREET,47
8755,47
COMVEH RES/OV TM C-3,47
DISABLED PARKING/OBS,47
DISABLED PARKING/BOUNDARIES,46
PARKING OUTSIDE PARKING STALLS,43
SIGN POSTED - NO PARKING,42
22502E,41
HANDICPD/BLOCKING,40
HANDICAP/ON LINE,38
225078,36
22500A,35
OBST FIRE RD,35
PARKING/FRONT YARD 1,32
DISABLED PARKING/BOU,29
PARK FIRE LANE,26
SIGN PSTD-NO PK,26
RESTRICTED ZONE,24
PK TRAILER,24
PK OVR PNTD LNS,22
22522,21
COMVEH RES/OV TM B-2,20
STORING VEH/ON STR,19
DP-REFUSE ID,19
AUDIBLE ALARM,19
UNATT/MOTOR ON,17
VEH/LOAD OVR 6' HIGH,17
5201F,17
PARKING PROHIB,17
PERIOD OF DISPLAY,16
21113A,16
2251157C,15
LEFT SIDE OF ROADWAY,14
PK OVERSIZED 1ST,11
PK-15FT FIRE ST,11
DP-SUBPLATE,10
OVERSIZED VEHICLE PARKING,9
DP-ALTERED,9
22523B,9
ILGL EXT OF TM,8
ADVERTISING ON VEH,8
BLOCK HANDICAP ACCES,8
22502,8
PARKING UNHITCHED TR,7
2251157,7
FOR SALE SIGN,7
PRK IN ELEC VEH SPACE,7
PRKG PUBL GRNDS,6
REPAIRING VEH/STREET,6
PK OVERSIZED 2ND,6
22523A,6
PK OVR 2 SPACES,5
BLOCKING INTERSECTION,5
4000,5
DSPLYPLATE B,5
STOP/STAND PROHB,5
SIGN POSTED - NO PAR,4
RV-OVERNIGHT,4
IN PARK AFT HRS,4
8606B,4
5201A,4
OVERSIZED VEHICLE PA,4
LOADING ZONES,4
MORE 18-CURB,4
PARKING OUTSIDE PARK,3
PARK RESTRCD,3
4464,3
ABAND VEH/HIGHWAY,3
BLOCKING INTERSECTIO,3
PARKING/FRONT YARD 2,3
MISUSE/DP PRIVILEGE,3
22500D,3
PK ON PRIV ST,3
PARKING OUTSIDE OF S,3
22500C,3
PARK IN XWALK,3
CATERING VIOLATION,2
5200A1,2
8603B,2
PARK LOT - STRT/ALY,2
PK TRLR-PUBL AR,2
PK TRAILER 3,2
40001A,2
ANGLE PKD,2
NO COIN DEP IN METER,2
BLK RAIL PROHIB,2
22502B,2
UNINCORP AREA,2
FR FORGN JURIS,2
225111A,1
VIO-PERM/PARK,1
5204B,1
5201C,1
RESTRCTD ZONES,1
5201B,1
WRG VEH REGISTR,1
RGSTR CARD RQD,1
22500E1,1
5002,1
22500,1
22515A,1
21113C,1
TRAILER   6' HIGH,1
22500K,1
22658A,1
572521,1
21461,1
22502C,1
22521,1
572125D,1
PARK RED FLAG DAY,1
REAR/SD MIR RQD,1
DISABLED PERSON,1
PARK NEAR EMERG VEH,1
PARKED IN ELEC VEHICLE SPACE,1
PARALLEL PK RQD,1
OVERSIZED VEHICLE PARKING TOPHAM ST,1
OUTSIDE MARKER,1
OFF STREET/OVERTIME,1
MT FIRE RD NO PERMIT,1
MOB BILBD ADV DISP,1
PARKING-SNOW AREA,1
PK BYND TM LMTS,1
FAIL DEP COIN,1
PK NR FIRE HYDR,1
COMMERCIAL - UNDESIG,1
6FT OF RR TRACK,1
CLOSED MT FIRE RD,1
CATERING/W/I 200 FT,1
ABAND VEH/PUB/PRIV,1
PK TRAILER 2,1
8755*,1
POSITION OF PLATES,1
8071,1
80692A,1
PRK FLOOD CNTL CHANL,1
806910,1
8054,1
8049A,1
17104h,1
